id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00690_c0	>	Cytosol	BHNFPM_02635_gene	Formate:tetrahydrofolate ligase (ADP-forming)		13.43		(1)  cpd00002[c0] + (1)  cpd00047[c0] + (1)  cpd00087[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00201[c0]	(1)  ATP [c0][c0] + (1)  Formate [c0][c0] + (1)  Tetrahydrofolate [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  10-Formyltetrahydrofolate [c0][c0]	rxn00690	ADE3_2	R00943	One carbon pool by folate|Carbon fixation pathways in prokaryotes	1CMET2-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|CODH-PWY|Carbohydrates-Biosynthesis|Cofactor-Biosynthesis|Degradation|Folate-Biosynthesis|Formaldehyde-Oxidation|Gluconeogenesis|NUCLEO-DEG|P164-PWY|Purine-Degradation|Vitamin-Biosynthesis
rxn00069_c0	<	Cytosol	Unknown	L-glutamate:NAD+ oxidoreductase (transaminating)	1.4.1.14	13.41		(1)  cpd00003[c0] + (2)  cpd00023[c0] <= (1)  cpd00004[c0] + (1)  cpd00024[c0] + (1)  cpd00053[c0] + (1)  cpd00067[c0]	(1)  NAD [c0][c0] + (2)  L-Glutamate [c0][c0] <= (1)  NADH [c0][c0] + (1)  2-Oxoglutarate [c0][c0] + (1)  L-Glutamine [c0][c0] + (1)  H+ [c0][c0]	rxn00069	GLT1	R00093	Alanine, aspartate and glutamate metabolism|Nitrogen metabolism	Amino-Acid-Biosynthesis|Ammonia-Assimilation|Biosynthesis|Degradation|GLUGLNSYN-PWY|GLUTAMATE-SYN|GLUTAMINE-SYN|IND-AMINO-ACID-SYN|Metabolic-Clusters|NITROGEN-DEG|Noncarbon-Nutrients
rxn13838_c0	<	Cytosol	Unknown	Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase		18.1		(1)  cpd00003[c0] + (1)  cpd15277[c0] <= (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd15239[c0]	(1)  NAD [c0][c0] + (1)  Palmitoyl-ACP [c0][c0] <= (1)  NADH [c0][c0] + (1)  H+ [c0][c0] + (1)  Hexadecenoyl-ACP [c0][c0]	rxn13838				
rxn14120_c0	<	Cytosol	Unknown	5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase	 1.5.1.3	-2.35		(2)  cpd00003[c0] + (1)  cpd00087[c0] <= (2)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd00393[c0]	(2)  NAD [c0][c0] + (1)  Tetrahydrofolate [c0][c0] <= (2)  NADH [c0][c0] + (2)  H+ [c0][c0] + (1)  Folate [c0][c0]	rxn14120		R00937	One carbon pool by folate|Folate biosynthesis	
rxn09358_c0	>	Cytosol	Unknown	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase		-307.78		(1)  cpd00002[c0] + (1)  cpd00773[c0] + (1)  cpd15386[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd02964[c0]	(1)  ATP [c0][c0] + (1)  UDP-MurNAc [c0][c0] + (1)  L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate [c0][c0]	rxn09358	UM3PL			
rxn04139_c0	>	Cytosol	Unknown	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone ,NADPH2:oxygen oxidoreductase		-94.61		(1)  cpd00005[c0] + (1)  cpd00007[c0] + (1)  cpd00067[c0] + (1)  cpd03448[c0] => (1)  cpd00001[c0] + (1)  cpd00006[c0] + (1)  cpd03449[c0]	(1)  NADPH [c0][c0] + (1)  O2 [c0][c0] + (1)  H+ [c0][c0] + (1)  2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone [c0][c0] => (1)  H2O [c0][c0] + (1)  NADP [c0][c0] + (1)  2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone [c0][c0]	rxn04139		R06146	Ubiquinone and other terpenoid-quinone biosynthesis	
rxn05299_c0	>	Cytosol	Unknown	TRANS-RXNBWI-115637.ce.maizeexp.HIS_HIS		0		(1)  cpd00067[e0] + (1)  cpd00119[e0] => (1)  cpd00067[c0] + (1)  cpd00119[c0]	(1)  H+ [e0][e0] + (1)  L-Histidine [e0][e0] => (1)  H+ [c0][c0] + (1)  L-Histidine [c0][c0]	rxn05299	AGP1_5			
rxn01500_c0	<	Cytosol	Unknown	(R)-Mevalonate:NAD+ oxidoreductase (CoA-acetylating)		1.17		(2)  cpd00003[c0] + (1)  cpd00010[c0] + (1)  cpd00332[c0] <= (2)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd00292[c0]	(2)  NAD [c0][c0] + (1)  CoA [c0][c0] + (1)  Mevalonic acid [c0][c0] <= (2)  NADH [c0][c0] + (2)  H+ [c0][c0] + (1)  HMG-CoA [c0][c0]	rxn01500		R02081	Terpenoid backbone biosynthesis	CARBOXYLATES-DEG|Degradation
rxn05005_c0	>	Cytosol	Unknown	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase				(1)  cpd00017[c0] + (1)  cpd00774[c0] => (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd11206[c0]	(1)  S-Adenosyl-L-methionine [c0][c0] + (1)  UroporphyrinogenIII [c0][c0] => (1)  S-Adenosyl-homocysteine [c0][c0] + (1)  H+ [c0][c0] + (1)  Precorrin 1 [c0][c0]	rxn05005		R07237		Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Porphyrin-Compounds-Biosynthesis|Vitamin-Biosynthesis
rxn00283_c0	>	Cytosol	BHNFPM_00336_gene	alanine racemase		0		(1)  cpd00035[c0] => (1)  cpd00117[c0]	(1)  L-Alanine [c0][c0] => (1)  D-Alanine [c0][c0]	rxn00283	ALAR	R00401	D-Alanine metabolism	ALADEG-PWY|ALANINE-DEG|ALANINE-SYN|ALANINE-VALINESYN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|PWY0-1061
