knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
VPAMTr + XYLt2,2,0.42940554294404276,0.0
XANt2 + XYLt2,2,0.42940554294404276,0.0
XPPT + XYLt2,2,0.42940554294404276,0.0
VECOAH + XYLabcpp,2,0.42940554294404254,0.0
VNDH_2 + XYLabcpp,2,0.42940554294404254,0.0
VPAMTr + XYLabcpp,2,0.42940554294404437,0.0
XANt2 + XYLabcpp,2,0.42940554294404437,0.0
XPPT + XYLabcpp,2,0.42940554294404437,0.0
XTSNH + XYLabcpp,2,0.42940554294404437,0.0
XYLI1 + XYLabcpp,2,0.42940554294404437,0.0
XYLI2 + XYLabcpp,2,0.42940554294404437,0.0
XYLK + XYLabcpp,2,0.42940554294404437,0.0
XYLabc + XYLabcpp,2,0.42940554294404437,0.0
2MAHMP + XYLt2,2,0.42940554294403954,0.0
2PGLYCt6 + XYLt2,2,0.42940554294403954,0.0
2S6HCCi + XYLt2,2,0.42940554294403954,0.0
34HPPOR + XYLt2,2,0.42940554294403954,0.0
3AMPt6 + XYLt2,2,0.42940554294403954,0.0
3CMPt6 + XYLt2,2,0.42940554294404987,0.0
2PGLYCt6 + XYLabcpp,2,0.4294055429440357,0.0
2S6HCCi + XYLabcpp,2,0.4294055429440357,0.0
34HPPOR + XYLabcpp,2,0.4294055429440357,0.0
3AMPt6 + XYLabcpp,2,0.4294055429440357,0.0
3CMPt6 + XYLabcpp,2,0.42940554294403976,0.0
3GMPtex_1 + XYLabcpp,2,0.20519899853344523,0.0
3MBt2pp + XYLabcpp,2,0.42940554294403016,0.0
3MBt4pp + XYLabcpp,2,0.42940554294403016,0.0
3MBtex + XYLabcpp,2,0.42940554294403016,0.0
3NTD2pp + XYLabcpp,2,0.42940554294403016,0.0
3NTD4pp + XYLabcpp,2,0.42940554294403016,0.0
3NTD7pp + XYLabcpp,2,0.4294055429440383,0.0
VALt2r + XYLabcpp,2,0.4294055429440383,0.0
VALt2rpp + XYLabcpp,2,0.42940554294403943,0.0
VALt3pp + XYLabcpp,2,0.42886846625924246,0.0
VALtex + XYLabcpp,2,0.42886846625924374,0.0
3NTD4pp + XYLabc,2,0.4294055429440423,0.0
3NTD7pp + XYLabc,2,0.4294055429440444,0.0
VALt2r + XYLabc,2,0.4294055429440444,0.0
VALt2rpp + XYLabc,2,0.42940554294403915,0.0
VALt3pp + XYLabc,2,0.42886846625924246,0.0
VALtex + XYLabc,2,0.428868466259243,0.0
VECOAH + XYLabc,2,0.42940554294403976,0.0
