reaction_id,reaction_name,subsystem,distance_from_PHB
FE2t4pp,Iron(II) transport out via antiport (periplasm),,4
FEDCabc,Iron  III  dicitrate transport via ABC system,,4
FGLU_1,Formimidoylglutamase,,4
FMNAT,FMN adenylyltransferase,,4
FRDO,FRDO,,4
FRUpts,D-fructose transport via PEP:Pyr PTS,,4
FRUpts2,Fructose transport via PEP:Pyr PTS (f6p generating),,4
FUM,Fumarase,,4
G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7,,4
G3POA_BS,Glycerol 3 phosphate O acyltransferase,,4
G6PDA,Glucosamine-6-phosphate deaminase,,4
GALTpts,Galactitol transport via PEP:Pyr PTS,,4
GALURt2rpp,"D-galacturonate transport via proton symport, reversible (periplasm)",,4
GALpts,Galactose transport via PTS,,4
GALt2pp,D-galactose transport in via proton symport (periplasm),,4
GAMpts,D-glucosamine transport via PEP:Pyr PTS,,4
GCCa,Glycine-cleavage complex,,4
GCCa_1,Glycine-cleavage complex,,4
GDH1,Glutamate dehydrogenase (NAD),,4
GF6PTA,Glutamine-fructose-6-phosphate transaminase,,4
GHMT2r,"Glycine hydroxymethyltransferase, reversible",,4
GLCADpts,,,4
GLCDpp,Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm),,4
GLCNt2rpp,"D-gluconate transport via proton symport, reversible (periplasm)",,4
GLCURt2rpp,"D-glucuronate transport via proton symport, reversible (periplasm)",,4
GLCpts,D-glucose transport via PEP:Pyr PTS,,4
GLCptspp,D-glucose transport via PEP:Pyr PTS (periplasm),,4
GLCt2pp,D-glucose transport in via proton symport (periplasm),,4
GLNS,Glutamine synthetase,,4
GLU5K,Glutamate 5-kinase,,4
GLUDC,Glutamate Decarboxylase,,4
GLUDxi,Glutamate dehydrogenase  NAD,,4
GLUDy,Glutamate dehydrogenase (NADP),,4
GLUDy_1,Glutamate dehydrogenase (NADP),,4
GLUN,Glutaminase,,4
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,,4
GLUR,Glutamate racemase,,4
GLUSfx,Glutamate synthase (ferredoxin),,4
GLUSx,Glutamate synthase  NADH2,,4
GLUSy,Glutamate synthase (NADPH),,4
GLUTRS,Glutamyl-tRNA synthetase,,4
GLUabc,L-glutamate transport via ABC system,,4
GLUt2r,L glutamate transport via proton symport  reversible,,4
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)",,4
GLUt4,Na+/glutamate symport,,4
GLUt4pp,Na+/glutamate symport (periplasm),,4
GLXCBL,Glyoxalate carboligase,,4
GLXO1,Glyoxylate oxidase,,4
GLYBt3pp,Glycine betaine transport via proton antiport (periplasm),,4
GLYCL,Glycine Cleavage System,,4
GLYCLTDx,Glycolate dehydrogenase (NAD),,4
GLYCTO1,Glycolate oxidase,,4
GLYCTO3,Glycolate oxidase,,4
GLYCYSAP,Gly-Cys aminopeptidase,,4
GLYGLYCNc,Hydrolysis of glycylycine for uptake,,4
GLYLEUAP,Gly-Leu aminopeptidase,,4
GLYO1,Glycine oxidase,,4
GLYPHEAP,Gly-Phe aminopeptidase,,4
GLYPHEHYc,Hydrolysis of glycylphenylalanine,,4
GLYTYRAP,Gly-Try aminopeptidase,,4
GLYabc,Glycine transport via ABC system,,4
GLYt2pp,Glycine transport in via proton symport (periplasm),,4
GLYt2r,Glycine reversible transport via proton symport,,4
GLYt4,Glycine transport via sodium symport,,4
GMPS2,GMP synthase,,4
GSNt2pp,Guanosine transport in via proton symport (periplasm),,4
GTHRDH_syn,Glutathione hydralase (periplasmic),,4
GUAt2pp,Guanine transport in via proton symport (periplasm),,4
Growth,Biomass reaction,,4
H2CO3D2,Carboxylic acid dissociation,,4
H2SO,Hydrogen sulfide oxidation,,4
H2St1,H2s transport (diffusion),,4
H2tpp,Hydrogen transport diffusion (periplasm),,4
HACD2,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),,4
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),,4
HACD4,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),,4
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),,4
HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),,4
HACD7,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),,4
HACD8,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",,4
HACD8i,3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA),,4
HACD9,3 hydroxyacyl CoA dehydrogenase  2 Methylacetoacetyl CoA,,4
HADPCOADH,3-hydroxyadipyl-CoA dehydrogenase,,4
HCO3E,HCO3 equilibration reaction,,4
HCYSMT,Homocysteine S-methyltransferase,,4
HCYSMT2,Homocysteine Methyltransferase,,4
HDECH,,,4
HEXt2rpp,"Hexanoate transport via proton symport, reversible (periplasm)",,4
HG2t3pp,Mercury (Hg+2) transport out via proton antiport (periplasm),,4
HSDxi,Homoserine dehydrogenase  NADH   irreversible,,4
HSDy,Homoserine dehydrogenase (NADPH),,4
HSK,Homoserine kinase,,4
HSTPT,Histidinol-phosphate transaminase,,4
HSTPTr,Histidinol phosphate transaminase,,4
HXANt2pp,Hypoxanthine transport in via proton symport (periplasm),,4
Htex,Proton transport via diffusion (extracellular to periplasm),,4
ICDHyr,Isocitrate dehydrogenase (NADP),,4
ICHORT,Isochorismatase,,4
ICITt4pp,Citrate transport via sodium symport  periplasm,,4
ICITtupp,Isocitrate transport periplasm,,4
IG3PS_1,Imidazole glycerol 3 phosphate synthase,,4
ILETA,Isoleucine transaminase,,4
IND3ACtpp,Indole 3 acetic acid export  periplasm,,4
INSCR,Inositol catabolic reactions  lumped,,4
IPPMIb,2-isopropylmalate hydratase,,4
KAS1,B-ketoacyl synthetase (Iso-C14:0),,4
KAS11,B-ketoacyl synthetase (Iso-C17:0),,4
KAS12,B-ketoacyl synthetase (Anteiso-C17:0),,4
KAS3,B-ketoacyl synthetase (Iso-C15:0),,4
KAS4,B-ketoacyl synthetase (Anteiso-C15:0),,4
KAS6,B-ketoacyl synthetase (Iso-C16:0),,4
LALGP,L-alanyl-gamma-L-glutamate peptidase,,4
LDH_D,D-lactate dehydrogenase,,4
LDH_L,L-lactate dehydrogenase,,4
LEUTA,Leucine transaminase,,4
LEUt3pp,L-leucine transport out via proton antiport (periplasm),,4
LPLIPAL1A160pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",,4
LPLIPAL1A161pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",,4
LPLIPAL1E180pp,"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)",,4
LPLIPAL2E161,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",,4
LPLIPAL2G181,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",,4
LSERDHr,L-serine dehydrogenase,,4
LYSt3pp,L-lysine transport out via proton antiport (cytoplasm to periplasm),,4
MACACI,Maleylacetoacetate isomerase,,4
MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),,4
MALDt2_2pp,D-Malate transport via proton symport (2 H) (periplasm),,4
MALTpts,Maltose transport via PEP:Pyr PTS,,4
MALt4,Namalate symporter,,4
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),,4
MANpts,D-mannose transport via PEP:Pyr PTS,,4
MBCOAi,"3-Methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase",,4
MCA,Methyl cis aconitase,,4
MCCC,Methylcrotonoyl-CoA carboxylase,,4
MCITS,2-methylcitrate synthase,,4
MCTC_1,,,4
MDH,Malate dehydrogenase,,4
MDNTHAep,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline extrusion pump,,4
ME2,Malic enzyme (NADP),,4
METAT,Methionine adenosyltransferase,,4
METGL,Methionine g lyase,,4
METOX1s,Methionine oxidation (spontaneous),,4
METOX2s,Methionine oxidation 2 (spontaneous),,4
METS,Methionine synthase,,4
METSOXR1,L-methionine-S-oxide reductase,,4
METSOXR2,L-methionine-R-sulfoxide reductase,,4
METSR_R1,L methionine R oxide reductase  trdrd,,4
METSR_R2,L methionine R oxide  H2O2,,4
METSR_S1,L methionine S oxide reductase  trdrd,,4
METSR_S2,L methionine S oxide reductase  H2O2,,4
METabc,L-methionine transport via ABC system,,4
METabcpp,L-methionine transport via ABC system (periplasm),,4
