growth_optimal_flux,PHB_optimal_flux,reaction_id,reaction_name,is_exchange,flux_shift
9.911971863696474,9.920774677326827,EX_gal_e,R_EX_gal_e,True,0.008802813630353512
0.0,0.0,EX_galt_e,R_EX_galt_e,True,0.0
0.0,0.0,EX_galur_e,R_EX_galur_e,True,0.0
-0.06269320926983003,-0.056423888342846736,EX_gam_e,R_EX_gam_e,True,0.0062693209269832975
0.0,0.0,EX_glc__D_e,R_EX_glc__D_e,True,0.0
0.0,0.0,EX_glc__aD_e,R_EX_glc__aD_e,True,0.0
0.0,0.0,EX_glcn__D_e,R_EX_glcn__D_e,True,0.0
0.0,0.0,EX_glcn_e,R_EX_glcn_e,True,0.0
0.0,0.0,EX_glcr_e,R_EX_glcr_e,True,0.0
0.0,0.0,EX_glcur_e,R_EX_glcur_e,True,0.0
0.0,0.0,EX_gln__L_e,R_EX_gln__L_e,True,0.0
1.4363556140347256e-12,-1.7992129123679776,EX_glu__L_e,R_EX_glu__L_e,True,-1.799212912369414
0.0,0.0,EX_gly_asn__L_e,R_EX_gly_asn__L_e,True,0.0
0.0,0.0,EX_gly_asp__L_e,R_EX_gly_asp__L_e,True,0.0
0.0,0.0,EX_gly_cys_e,R_EX_gly_cys_e,True,0.0
0.0,0.0,EX_gly_e,R_EX_gly_e,True,0.0
0.0,0.0,EX_gly_gln_e,R_EX_gly_gln_e,True,0.0
0.0,0.0,EX_gly_glu__L_e,R_EX_gly_glu__L_e,True,0.0
0.0,0.0,EX_gly_leu_e,R_EX_gly_leu_e,True,0.0
0.0,0.0,EX_gly_met_e,R_EX_gly_met_e,True,0.0
0.0,0.0,EX_gly_phe_e,R_EX_gly_phe_e,True,0.0
0.0,0.0,EX_gly_pro__L_e,R_EX_gly_pro__L_e,True,0.0
0.0,0.0,EX_gly_tyr_e,R_EX_gly_tyr_e,True,0.0
-1.427093593668033,2.669050521144167,EX_glyald_e,R_EX_glyald_e,True,4.0961441148121995
0.0,0.0,EX_glyb_e,R_EX_glyb_e,True,0.0
1.427093593668033,-2.669050521144165,EX_glyc_e,R_EX_glyc_e,True,-4.096144114812198
0.0,0.0,EX_glygln_e,R_EX_glygln_e,True,0.0
0.0,0.0,EX_glyglu_e,R_EX_glyglu_e,True,0.0
0.0,0.0,EX_glygly_e,R_EX_glygly_e,True,0.0
0.0,0.0,EX_glyglygln_e,R_EX_glyglygln_e,True,0.0
0.0,0.0,EX_glymet_e,R_EX_glymet_e,True,0.0
0.0,0.0,EX_glyphe_e,R_EX_glyphe_e,True,0.0
0.0,0.0,EX_glyser_e,R_EX_glyser_e,True,0.0
4.510213151185502,5.0,EX_gthox_e,R_EX_gthox_e,True,0.4897868488144983
-9.020426302371003,-10.0,EX_gthrd_e,R_EX_gthrd_e,True,-0.9795736976289966
0.0,0.0,EX_gua_e,R_EX_gua_e,True,0.0
1.5049923161657845,3.4793084683793394,EX_h2_e,R_EX_h2_e,True,1.9743161522135548
-4.510213151185502,-5.0,EX_h2o2_e,R_EX_h2o2_e,True,-0.4897868488144983
-10.0,-10.0,EX_h2o_e,R_EX_h2o_e,True,0.0
-0.039572297215550306,-0.035615067493995976,EX_h2s_e,R_EX_h2s_e,True,0.00395722972155433
10.446086318320372,0.0,EX_h_e,R_EX_h_e,True,-10.446086318320372
0.0,0.0,EX_hexs_e,R_EX_hexs_e,True,0.0
-0.0406810223274326,-0.036612920094689146,EX_his__L_e,R_EX_his__L_e,True,0.0040681022327434535
0.0,0.0,EX_hisgly_e,R_EX_hisgly_e,True,0.0
0.0,0.0,EX_hishis_e,R_EX_hishis_e,True,0.0
0.0,0.0,EX_hqn_e,R_EX_hqn_e,True,0.0
0.0,0.0,EX_hxa_e,R_EX_hxa_e,True,0.0
0.0,0.0,EX_hxan_e,R_EX_hxan_e,True,0.0
0.0,0.0,EX_icit_e,R_EX_icit_e,True,0.0
0.0,0.0,EX_id3acald_e,R_EX_id3acald_e,True,0.0
-0.13351463606204783,-0.12016317245584243,EX_ile__L_e,R_EX_ile__L_e,True,0.0133514636062054
0.0,0.0,EX_ind3ac_e,R_EX_ind3ac_e,True,0.0
0.0,0.0,EX_inost_e,R_EX_inost_e,True,0.0
0.0,0.0,EX_isetac_e,R_EX_isetac_e,True,0.0
0.0,0.0,EX_istfrnA_e,R_EX_istfrnA_e,True,0.0
0.0,0.0,EX_istfrnB_e,R_EX_istfrnB_e,True,0.0
-0.08381695614387628,-0.07543526052948818,EX_k_e,R_EX_k_e,True,0.008381695614388104
-0.19809808853193664,-0.1782882796787249,EX_leu__L_e,R_EX_leu__L_e,True,0.019809808853211736
0.0,0.0,EX_leuleu_e,R_EX_leuleu_e,True,0.0
0.0,0.0,EX_lipoate_e,R_EX_lipoate_e,True,0.0
-0.1473552355222202,-0.13261971196999747,EX_lys__L_e,R_EX_lys__L_e,True,0.01473552355222274
0.0,0.0,EX_lysglugly_e,R_EX_lysglugly_e,True,0.0
0.0,0.0,EX_madg_e,R_EX_madg_e,True,0.0
0.0,0.0,EX_mal__D_e,R_EX_mal__D_e,True,0.0
0.0,0.0,EX_mal__L_e,R_EX_mal__L_e,True,0.0
