reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
METSR_R1,L methionine R oxide reductase  trdrd,4,0.059441793439212076,0.059441793439212076,1000.0,5.9441793439212074e-05,1.7790736754999283e-07
METSRabc,L methionine R oxide transport via ABC system,5,0.05944179343921207,0.05944179343921207,1000.0,5.944179343921207e-05,1.7790736754999277e-07
UAGDP,UDP-N-acetylglucosamine diphosphorylase,4,0.056423888342847055,0.056423888342847055,1000.0,5.6423888342847056e-05,1.6030096914187343e-07
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,3,0.056423888342847034,0.056423888342847034,1000.0,5.6423888342847035e-05,1.603009691418733e-07
GAMpts,D-glucosamine transport via PEP:Pyr PTS,4,0.056423888342847034,0.056423888342847034,1000.0,5.6423888342847035e-05,1.603009691418733e-07
PGAMT,Phosphoglucosamine mutase,4,-0.056423888342847034,0.056423888342847034,1000.0,5.6423888342847035e-05,1.603009691418733e-07
UPPRT,Uracil phosphoribosyltransferase,5,0.05569115072436476,0.05569115072436476,1000.0,5.569115072436476e-05,1.5616456955191396e-07
URIt2,Uridine transport in via proton symport,5,0.05569115072436475,0.05569115072436475,1000.0,5.569115072436475e-05,1.561645695519139e-07
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),5,0.05569115072436475,0.05569115072436475,1000.0,5.569115072436475e-05,1.561645695519139e-07
TYRt2r,L tyrosine reversible transport via proton symport,5,0.0532919760748304,0.0532919760748304,1000.0,5.32919760748304e-05,1.4299925460381272e-07
HISt2r,L histidine reversible transport via proton symport,5,0.036612920094689354,0.036612920094689354,1000.0,3.661292009468936e-05,6.749612816481759e-08
H2St1,H2s transport (diffusion),4,-0.03561506749399484,0.03561506749399484,1000.0,3.561506749399484e-05,6.386716939948221e-08
CYS,L-cysteine,4,0.03561506749399483,0.03561506749399483,1000.0,3.561506749399483e-05,6.386716939948218e-08
TRPt2r,L tryptophan reversible transport via proton symport,5,0.02196782934981134,0.02196782934981134,1000.0,2.1967829349811342e-05,2.429877712773663e-08
RNDR2,Ribonucleoside-diphosphate reductase (GDP),4,0.010441124598347255,0.010441124598347255,1000.0,1.0441124598347255e-05,5.48914473264581e-09
NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),5,0.010441124598347255,0.010441124598347255,1000.0,1.0441124598347255e-05,5.48914473264581e-09
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),5,0.010441124598347255,0.010441124598347255,1000.0,1.0441124598347255e-05,5.48914473264581e-09
RNDR3,Ribonucleoside-diphosphate reductase (CDP),4,0.010441124598347255,0.010441124598347255,1000.0,1.0441124598347255e-05,5.48914473264581e-09
DTMPK,DTMP kinase,6,0.010112242893006414,0.010112242893006414,1000.0,1.0112242893006414e-05,5.148789189296529e-09
TMDK1,Thymidine kinase (ATP:thymidine),6,0.010112242893006414,0.010112242893006414,1000.0,1.0112242893006414e-05,5.148789189296529e-09
THMDt2,Thymidine transport in via proton symport,7,0.010112242893006412,0.010112242893006412,1000.0,1.0112242893006412e-05,5.148789189296527e-09
RNTR1,Ribonucleoside triphosphate reductase  ATP,4,0.010112242893006412,0.010112242893006412,1000.0,1.0112242893006412e-05,5.148789189296527e-09
NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),5,0.010112242893006412,0.010112242893006412,1000.0,1.0112242893006412e-05,5.148789189296527e-09
OIVD3,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),5,0.007883885768452606,0.007883885768452606,1000.0,7.883885768452606e-06,3.1296139668831913e-09
ILETA,Isoleucine transaminase,4,0.007883885768452604,0.007883885768452604,1000.0,7.883885768452604e-06,3.1296139668831897e-09
PAP_BS,Phosphatidic acid phosphatase,5,0.00772929977299275,0.00772929977299275,1000.0,7.72929977299275e-06,3.008087242294493e-09
UGT_BS,UDP glucosyltransferase  diglucosyl,5,0.007729299772992749,0.007729299772992749,1000.0,7.729299772992748e-06,3.0080872422944917e-09
