reaction_id,loopless_flux,standard_flux,delta
CGLYabcpp,0.0,0.0,0.0
CHLabc,0.0,0.0,0.0
CHOLD,0.0,0.0,0.0
CHORM,0.0,0.0,0.0
CHORS,0.0,0.0,0.0
CITt14,0.0023181516460202343,0.002318151646020243,-8.673617379884035e-18
CITt3pp,0.0,0.0,0.0
CITt4pp_1,0.0,0.0,0.0
CITtupp,0.0,0.0,0.0
CLtex,0.0,0.0,0.0
CMCBTFexs,0.0,0.0,0.0
CMPDAi,0.0,0.0,0.0
CO2t,0.0,0.0,0.0
CO2tex,0.0,0.0,0.0
CO2tpp,0.0,0.0,0.0
COBALT2abcpp,0.0,0.0,0.0
COBALT2t3pp,0.0,0.0,0.0
COBALT2tex,0.0,0.0,0.0
COBALTt4pp,0.0,0.0,0.0
COBALTt5,-4.453701529337626e-05,-4.4537015293376426e-05,1.6263032587282567e-19
COabc,0.0,0.0,0.0
COt_1,0.0,0.0,0.0
CPGNexs,0.0,0.0,0.0
CPPPGO,0.0,0.0,0.0
CRO4abcpp,0.0,0.0,0.0
CRO4t3,0.0,0.0,0.0
CRO4t3pp,0.0,0.0,0.0
CRO4tex,0.0,0.0,0.0
CS,0.0,0.0,0.0
CTECOAI6,0.0,0.0,0.0
CTECOAI7,0.0,0.0,0.0
CTECOAI8,0.0,0.0,0.0
CTPS1,0.0,0.0,0.0
CTPS2,0.0,0.0,0.0
CU2abcpp,0.0,0.0,0.0
CU2tex,0.0003157674384300377,0.0003157674384300389,-1.1926223897340549e-18
CU2tpp,0.00031576743843003766,0.00031576743843003886,-1.1926223897340549e-18
CYS,0.041043531813763814,0.04104353181376398,-1.6653345369377348e-16
CYSDS,0.0,0.0,0.0
CYSGL,0.0,0.0,0.0
CYSK2_I,0.0,0.0,0.0
CYSS,0.0,0.0,0.0
CYSS_2,0.0,0.0,0.0
CYSTGL,0.0,0.0,0.0
CYSTL,0.0,0.0,0.0
CYSTS,0.0,7.490705637093783e-18,-7.490705637093783e-18
CYST_II,0.0,0.0,0.0
CYSabc,0.0,0.0,0.0
CYSabc2pp,0.0,0.0,0.0
CYSabcpp,0.0,0.0,0.0
CYStpp,0.0,0.0,0.0
CYTBD2pp,0.0,0.0,0.0
CYTB_B2,0.0,0.0,0.0
CYTB_B3,1.6659733652731559,1.6659733652731705,-1.4654943925052066e-14
CYTD,0.0,0.0,0.0
CYTDH,0.0,0.0,0.0
CYTDK1,0.07149304379969221,0.07149304379969244,-2.3592239273284576e-16
CYTDK2,0.0,0.0,0.0
CYTDt2,0.07149304379969221,0.07149304379969244,-2.3592239273284576e-16
CYTDtex,0.0,0.0,0.0
