reaction_id,mean_flux,std_flux,min_flux,max_flux
GTHRDHpp,0.05219348883195675,0.08629879987705319,2.0074047055131206e-05,0.32067185566426304
GTHRDabc2pp,0.1007106543479989,0.08502144485651876,3.7126699007671336e-05,0.34881474201639523
GTHRDabcpp,0.0485171655160437,0.028665750973327908,6.952423260533107e-06,0.08534560532190406
GTHRDt2_1,0.0734385074367276,0.08365477113837827,4.2186444286815324e-05,0.3218785041602531
GTPCI,5.4405928024308035e-06,2.855571627588615e-06,3.6477640199979415e-09,1.115512935022395e-05
GTPCII,4.700168106108725e-07,5.055160570825588e-07,7.217122276770015e-10,2.17537060442351e-06
GTPDPK,0.0864276217766152,0.07500615421623294,1.930249639652198e-05,0.2698318945195239
GTPDPK_1,0.0,0.0,0.0,0.0
GTPHs,0.005806392312671724,0.005010330692663107,8.152460817655643e-06,0.021105868988821858
GUACYC,0.039797060529806895,0.03192422790832124,1.930135728422552e-05,0.08797179408841621
GUAPRT,0.06063906578499778,0.05177722268628497,0.00020138134932897716,0.24410099029279414
GUAt2pp,0.026210347535936325,0.022627737323391125,1.5003280685730562e-05,0.09896735763337716
GUAt2r,0.37618659685705547,0.20425497306858206,0.017332679850744315,0.885544938656451
GUAtex,0.02621034753593633,0.022627737323391125,1.5003280685730562e-05,0.09896735763337716
GUI2,0.03867478929184383,0.034838458598157505,0.0008915051400325654,0.16828218072705808
GalMr,-0.10832035698091151,0.0707171699380122,-0.29077109641379906,0.02198199247027066
H2CO3D2,0.0,0.0,0.0,0.0
H2Ot,-6.195447060512241,0.30573263388090754,-6.961094452893169,-5.3810894472065245
H2Otex,19.859315974893033,0.807802467900201,18.722682889968148,22.68887198558165
H2Otpp,0.06211098619169153,0.059532918416778366,1.9062755515082853e-05,0.20790784745460822
H2SO,0.029853130900582354,0.01927970351541274,3.5627438904751596e-05,0.09083876542583179
H2St1,1.1055617746280564,0.34754869194845095,-0.00342571571416602,1.5779457630117495
H2tex,-0.08437650061053781,0.07236485808258497,-0.2816092371542531,-0.00014185223946050485
H2tpp,-0.08437650061052229,0.07236485808259228,-0.2816092371542147,-0.00014185223945888673
HACD1,-1.32234325550613,1.2104095784365103,-6.31717506504077,1.6225240283367057
HACD1_1,1.386810613844422,1.1921469530969535,-1.5957049701348378,6.346769691829548
HACD1i,0.0,0.0,0.0,0.0
HACD2,-0.28443109880796014,0.10263447911386873,-0.6668869183998813,-0.137900678888479
HACD3,8.635344221308005,0.46710551255245475,7.62839789507529,9.785904363672284
HACD4,-0.2159663227784777,0.11796820968261701,-0.666705020686091,-0.06935759315635859
HACD5,-0.18711058493409502,0.11819749539136991,-0.6666554182945237,-0.06308679839414227
HACD6,-0.12102060057215142,0.0413652735665047,-0.21229522966890174,-7.926221543946225e-05
HACD7,-0.034177905752319035,0.016215543394680593,-0.1110931683732209,5.5605970993872276e-05
HACD8,-0.021291596354723333,0.00986564558247831,-0.050791598339666046,-3.331455783591665e-05
HACD8i,0.0,0.0,0.0,0.0
HACD9,0.18515620802045493,0.28404722120501896,0.006521839696698837,1.281525624017376
