knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
23CGMPtex + VALt2r,2,0.3446191415899198,0.0
23CGMPtex + VALt2rpp,2,0.3446191415899198,0.0
23CUMPtex + VALt2rpp,2,0.4453701529337645,0.0
23CUMPtex + VALt3pp,2,0.4453701529337645,0.0
23CUMPtex + VALtex,2,0.4453701529337642,0.0
23CUMPtex + VECOAH,2,0.4453701529337642,0.0
23CUMPtex + VNDH_2,2,0.4453701529337642,0.0
23CUMPtex + VPAMTr,2,0.4453701529337642,0.0
23CUMPtex + XANt2,2,0.4453701529337642,0.0
23CUMPtex + XPPT,2,0.4453701529337642,0.0
23CUMPtex + XTSNH,2,0.4453701529337642,0.0
23CUMPtex + XYLI1,2,0.4453701529337642,0.0
23CUMPtex + XYLI2,2,0.4453701529337642,0.0
23CUMPtex + XYLK,2,0.4453701529337642,0.0
23CUMPtex + XYLabc,2,0.4453701529337642,0.0
23CUMPtex + XYLabcpp,2,0.4453701529337642,0.0
23CUMPtex + XYLt2,2,0.4453701529337642,0.0
23CUMPtex + 23PDE2pp,2,0.4453701529337638,0.0
23PDE2pp + XYLt2,2,0.4453701529337626,0.0
23CUMPtex + 2HXMPt6,2,0.44537015293376425,0.0
23CUMPtex + 2INSD,2,0.44537015293376425,0.0
23CUMPtex + 2MAHMP,2,0.44537015293376425,0.0
23CUMPtex + 2PGLYCt6,2,0.44537015293376425,0.0
23CUMPtex + 2S6HCCi,2,0.44537015293376425,0.0
23CUMPtex + 34HPPOR,2,0.44537015293376425,0.0
23CUMPtex + 3AMPt6,2,0.44537015293376425,0.0
23CUMPtex + 3CMPt6,2,0.4453701529337634,0.0
23CUMPtex + 3GMPtex_1,2,0.17156762868765996,0.0
23CUMPtex + 3MBt2pp,2,0.4453701529337642,0.0
23CUMPtex + 3MBt4pp,2,0.4453701529337642,0.0
23CUMPtex + 3MBtex,2,0.4453701529337642,0.0
23CUMPtex + 3NTD2pp,2,0.4453701529337642,0.0
23CUMPtex + 3NTD4pp,2,0.4453701529337642,0.0
23CUMPtex + VALt2r,2,0.4453701529337645,0.0
23PDE2pp + 3NTD4pp,2,0.4453701529337626,0.0
23PDE2pp + VALt2r,2,0.44537015293376253,0.0
23PDE2pp + VALt2rpp,2,0.44537015293376253,0.0
23PDE2pp + VALt3pp,2,0.44537015293376253,0.0
23PDE2pp + VALtex,2,0.4453701529337626,0.0
23PDE2pp + VECOAH,2,0.4453701529337626,0.0
23PDE2pp + VNDH_2,2,0.4453701529337626,0.0
23PDE2pp + VPAMTr,2,0.4453701529337626,0.0
23PDE2pp + XANt2,2,0.4453701529337626,0.0
23PDE2pp + XPPT,2,0.4453701529337626,0.0
23PDE2pp + XTSNH,2,0.4453701529337626,0.0
23PDE2pp + XYLI1,2,0.4453701529337626,0.0
23PDE2pp + XYLI2,2,0.4453701529337626,0.0
23PDE2pp + XYLK,2,0.4453701529337626,0.0
23PDE2pp + XYLabc,2,0.4453701529337626,0.0
23PDE2pp + XYLabcpp,2,0.4453701529337626,0.0
XYLK + XYLt2,2,0.4453701529337629,0.0
XYLabc + XYLt2,2,0.4453701529337629,0.0
XYLabcpp + XYLt2,2,0.4453701529337629,0.0
23PDE2pp + 2HXMPt6,2,0.44537015293376336,0.0
23PDE2pp + 2INSD,2,0.44537015293376336,0.0
23PDE2pp + 2MAHMP,2,0.44537015293376336,0.0
23PDE2pp + 2PGLYCt6,2,0.44537015293376336,0.0
23PDE2pp + 2S6HCCi,2,0.44537015293376336,0.0
23PDE2pp + 34HPPOR,2,0.44537015293376336,0.0
23PDE2pp + 3AMPt6,2,0.44537015293376336,0.0
23PDE2pp + 3CMPt6,2,0.4453701529337645,0.0
23PDE2pp + 3GMPtex_1,2,0.17156762868765996,0.0
23PDE2pp + 3MBt2pp,2,0.4453701529337626,0.0
23PDE2pp + 3MBt4pp,2,0.4453701529337626,0.0
23PDE2pp + 3MBtex,2,0.4453701529337626,0.0
23PDE2pp + 3NTD2pp,2,0.4453701529337626,0.0
3MBt4pp + XYLt2,2,0.44537015293376314,0.0
3MBtex + XYLt2,2,0.445370152933763,0.0
3NTD2pp + XYLt2,2,0.4453701529337629,0.0
3NTD4pp + XYLt2,2,0.4453701529337629,0.0
VALt2r + XYLt2,2,0.4453701529337634,0.0
VALt2rpp + XYLt2,2,0.4453701529337634,0.0
VALt3pp + XYLt2,2,0.4453701529337634,0.0
VALtex + XYLt2,2,0.4453701529337629,0.0
VECOAH + XYLt2,2,0.4453701529337629,0.0
VNDH_2 + XYLt2,2,0.4453701529337629,0.0
VPAMTr + XYLt2,2,0.4453701529337629,0.0
XANt2 + XYLt2,2,0.4453701529337629,0.0
XPPT + XYLt2,2,0.4453701529337629,0.0
XTSNH + XYLt2,2,0.4453701529337629,0.0
XYLI1 + XYLt2,2,0.4453701529337629,0.0
XYLI2 + XYLt2,2,0.4453701529337629,0.0
XPPT + XYLabcpp,2,0.4453701529337642,0.0
XTSNH + XYLabcpp,2,0.4453701529337642,0.0
XYLI1 + XYLabcpp,2,0.4453701529337642,0.0
XYLI2 + XYLabcpp,2,0.4453701529337642,0.0
XYLK + XYLabcpp,2,0.4453701529337642,0.0
XYLabc + XYLabcpp,2,0.4453701529337642,0.0
2HXMPt6 + XYLt2,2,0.4453701529337629,0.0
2INSD + XYLt2,2,0.4453701529337629,0.0
2MAHMP + XYLt2,2,0.4453701529337629,0.0
2PGLYCt6 + XYLt2,2,0.4453701529337629,0.0
2S6HCCi + XYLt2,2,0.4453701529337629,0.0
34HPPOR + XYLt2,2,0.4453701529337629,0.0
3AMPt6 + XYLt2,2,0.4453701529337629,0.0
3CMPt6 + XYLt2,2,0.44537015293376386,0.0
3GMPtex_1 + XYLt2,2,0.17156762868786912,0.0
3MBt2pp + XYLt2,2,0.44537015293376314,0.0
3AMPt6 + XYLabcpp,2,0.4453701529337642,0.0
3CMPt6 + XYLabcpp,2,0.4453701529337643,0.0
3GMPtex_1 + XYLabcpp,2,0.17156762868765948,0.0
3MBt2pp + XYLabcpp,2,0.4453701529337642,0.0
3MBt4pp + XYLabcpp,2,0.4453701529337642,0.0
3MBtex + XYLabcpp,2,0.4453701529337642,0.0
3NTD2pp + XYLabcpp,2,0.4453701529337642,0.0
3NTD4pp + XYLabcpp,2,0.4453701529337642,0.0
VALt2r + XYLabcpp,2,0.445370152933764,0.0
VALt2rpp + XYLabcpp,2,0.445370152933764,0.0
VALt3pp + XYLabcpp,2,0.445370152933764,0.0
VALtex + XYLabcpp,2,0.4453701529337642,0.0
VECOAH + XYLabcpp,2,0.4453701529337642,0.0
VNDH_2 + XYLabcpp,2,0.4453701529337642,0.0
VPAMTr + XYLabcpp,2,0.4453701529337642,0.0
XANt2 + XYLabcpp,2,0.4453701529337642,0.0
VALtex + XYLabc,2,0.44537015293376336,0.0
VECOAH + XYLabc,2,0.44537015293376336,0.0
VNDH_2 + XYLabc,2,0.44537015293376336,0.0
VPAMTr + XYLabc,2,0.44537015293376336,0.0
XANt2 + XYLabc,2,0.44537015293376336,0.0
XPPT + XYLabc,2,0.44537015293376336,0.0
XTSNH + XYLabc,2,0.44537015293376336,0.0
XYLI1 + XYLabc,2,0.44537015293376336,0.0
XYLI2 + XYLabc,2,0.44537015293376336,0.0
XYLK + XYLabc,2,0.44537015293376336,0.0
2HXMPt6 + XYLabcpp,2,0.4453701529337642,0.0
2INSD + XYLabcpp,2,0.4453701529337642,0.0
2MAHMP + XYLabcpp,2,0.4453701529337642,0.0
2PGLYCt6 + XYLabcpp,2,0.4453701529337642,0.0
2S6HCCi + XYLabcpp,2,0.4453701529337642,0.0
34HPPOR + XYLabcpp,2,0.4453701529337642,0.0
2INSD + XYLabc,2,0.445370152933764,0.0
2MAHMP + XYLabc,2,0.445370152933764,0.0
2PGLYCt6 + XYLabc,2,0.445370152933764,0.0
2S6HCCi + XYLabc,2,0.445370152933764,0.0
34HPPOR + XYLabc,2,0.445370152933764,0.0
3AMPt6 + XYLabc,2,0.445370152933764,0.0
3CMPt6 + XYLabc,2,0.445370152933764,0.0
