reaction_id,reaction_name,imbalance
SALCHS4FEexs,Salmochelin S4 Fe III binding spontaneous,{'H': 3.0}
SCYSSL,S-sulfo-L-cysteine sulfite lyase,{'H': 1.0}
SHCHF_2,Sirohydrochlorin ferrochetalase,{'H': 8.0}
SHGO,S-2-hydroxyglutarate oxidase,{'H': 2.0}
SLCYSS,O-acetyl-L-serine sulfhydrylase,{'H': 1.0}
SMIA1,Staphyloferrin A Mediated Iron Acquisition,{'H': 2.0}
SMIA2abc,Siderophore Mediated Iron Acquisition: Staphyloferrin B transport via ABC,{'H': -2.0}
SMIB1,Staphyloferrin B Mediated Iron Acquisition,{'H': 2.0}
SPMS,Spermidine synthase,{'H': -2.0}
SPP,Sucrose-phosphate phosphatase,{'H': 2.0}
SUCBZL,O-succinylbenzoate-CoA ligase,{'H': -5.0}
SUCBZS,O-succinylbenzoate-CoA synthase,{'H': 2.0}
SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),{'H': 2.0}
SUCpts,Sucrose transport via PEP:Pyr PTS,{'H': -2.0}
TAGURr,Tagaturonate reductase,{'H': -1.0}
TALA,Transaldolase,{'H': 2.0}
TECA1S45,Glycerol teichoic acid  n45   unlinked  unsubstituted,{'H': -45.0}
TECA2S45,Glycerol teichoic acid  n45   unlinked  D ala substituted,{'H': -45.0}
TECA3S45,Glycerol teichoic acid  n45   unlinked  glucose substituted,{'H': -45.0}
TGBPA,Tagatose-bisphosphate aldolase,{'H': 2.0}
TKT2,Transketolase,{'H': -2.0}
TMDPP,Thymidine phosphorylase,{'H': -2.0}
TNTHAC1,2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,{'H': 1.0}
TNTHAC2,2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,{'H': 1.0}
TNTR1,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,{'H': -1.0}
TNTR1x,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,{'H': -1.0}
TNTR2,TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene,{'H': -1.0}
TNTR2x,TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene,{'H': -1.0}
TPI,Triose-phosphate isomerase,{'H': -2.0}
TRPS1,Tryptophan synthase (indoleglycerol phosphate),{'H': -2.0}
TRPS3,Tryptophan synthase (indoleglycerol phosphate),{'H': -2.0}
UAGDP,UDP-N-acetylglucosamine diphosphorylase,{'H': 2.0}
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,{'H': 3.0}
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,{'H': -3.0}
UDCPDP,Undecaprenyl-diphosphatase,{'H': 2.0}
UDCPDPex,Undecaprenyl-diphosphatase (periplasm),{'H': 2.0}
UM3PL,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,{'H': 3.0}
UPP3MT_2,Uroporphyrinogen methyltransferase,{'H': -8.0}
YUMPS,YUMP synthetase,{'H': 2.0}
Growth,Biomass reaction,"{'charge': 0.40572400000003306, 'C': -38.83041899999989, 'H': -60.16409599999967, 'N': -10.768223000000091, 'O': -18.219038000000197, 'S': -0.25062599999999996, 'P': -1.4040929999999974, 'Ca': -0.005205, 'Cl': -0.005205, 'Co': -0.0001, 'Cu': -0.000709, 'Fe': -0.014523, 'K': -0.195193, 'Mg': -0.008675, 'Mn': -0.000691, 'Zn': -0.000341}"
