reaction_id,loopless_flux,step_7.3_flux,delta_vs_step_7.3
MLDCP1Bpp,0.0,0.0,0.0
MLDCP2App,0.0,0.0,0.0
MLDCP2Bpp,0.0,0.0,0.0
MMSAD2,0.0,0.0,0.0
MTAM_1,0.0,0.0,0.0
MTAN,0.0,0.0,0.0
MTHFC,0.0,0.0,0.0
MTHFC_1,0.0,0.0,0.0
MTHFD,0.0,0.0,0.0
MTHFD2i,0.0,0.0,0.0
MTHFR3,0.0,0.0,0.0
MTHTHFSs,0.0,0.0,0.0
MTRI,0.0,0.0,0.0
MTRK,0.0,0.0,0.0
MYCTR,0.0,0.0,0.0
MYCTR2,0.0,0.0,0.0
MSO3abcpp,0.0,0.0,0.0
MNLptspp,0.0,0.0,0.0
MNLtex,0.0,0.0,0.0
MNabc,0.0,0.0,0.0
MNt2,0.0,0.0,0.0
MNtex,0.0,0.0,0.0
MOBDabc,0.0,0.0,0.0
MOBDabc_rev,0.0,0.0,0.0
MOBDabcpp,0.0,0.0,0.0
MOBDtex,0.0,0.0,0.0
MOHMT,0.0,0.0,0.0
MPTG,0.0,0.0,0.0
MPTG2,0.0,0.0,0.0
MSO3abc,0.0,0.0,0.0
NABTNO,0.0,0.0,0.0
MEPCT,0.0,0.0,0.0
METAT,0.0,0.0,0.0
METB1,0.0,0.0,0.0
METDabc,0.0,0.0,0.0
METGL,0.0,0.0,0.0
METOX1s,0.0,0.0,0.0
METOX2s,0.0,0.0,0.0
METS,0.0,0.0,0.0
MCSNAH,0.0,0.0,0.0
MCTC_1,0.0,0.0,0.0
MCTP1App,0.0,0.0,0.0
MCTP1Bpp,0.0,0.0,0.0
MLDCP3App,0.0,0.0,0.0
MDDCP1pp,0.0,0.0,0.0
MDDCP2pp,0.0,0.0,0.0
MDDCP3pp,0.0,0.0,0.0
MDDCP4pp,0.0,0.0,0.0
MDDCP5pp,0.0,0.0,0.0
MDDEP1pp,0.0,0.0,0.0
MDDEP2pp,0.0,0.0,0.0
MDDEP3pp,0.0,0.0,0.0
MDDEP4pp,0.0,0.0,0.0
MDH,0.0,0.0,0.0
MALTabc,0.0,0.0,0.0
MALTpts,0.0,0.0,0.0
MALt4,0.0,0.0,0.0
MCTP2App,0.0,0.0,0.0
MLDEP1pp,0.0,0.0,0.0
