reaction_id,reaction_name,imbalance,distance_from_PHB
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),{'H': -4.0},2
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),{'H': -2.0},2
BGLA1,6-phospho-beta-glucosidase,{'H': 2.0},2
BALAMDAH,Beta Alaninamide amidohydrolase,{'H': -1.0},2
AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),{'H': 2.0},2
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),{'H': 2.0},2
AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),{'H': 1.0},2
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),{'H': 2.0},2
CMCBTFexs,Carboxymycobactin Fe loading reaction  spontaneous,{'H': 3.0},2
A6PAG2,,{'H': -2.0},2
A6PAG,,{'H': -2.0},2
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,{'H': -2.0},2
2AACLPPEAT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0},2
2AACLPPEAT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0},2
2AACLPPEAT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0},2
2AACLPPEAT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0},2
2AACLPGT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0},2
FEENTERexs,Enterobactin Fe(III) binding (spontaneous),{'H': 2.0},2
G3PAT181,Glycerol-3-phosphate acyltransferase (C18:1),{'H': -1.0},2
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),{'H': -2.0},2
G3PAT161,Glycerol-3-phosphate acyltransferase (C16:1),{'H': -4.0},2
G3PAT160,Glycerol-3-phosphate acyltransferase (C16:0),{'H': -1.0},2
FRUK,Fructose-1-phosphate kinase,{'H': -4.0},2
FRDO,FRDO,{'H': 1.0},2
FFSD,Beta-fructofuranosidase,{'H': 2.0},2
FEOXAMexs,Ferroxamine Fe3-loading reaction (spontaneous),{'H': 3.0},2
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,{'H': 2.0},2
FE3PYOVDL2,Ferripyoverdine complex formation  P putida KT2440 specific,{'H': 3.0},2
FE3DCITexs,Dicitrate Fe(III) binding (spontaneous),{'H': -3.0},2
FBP,Fructose-bisphosphatase,{'H': 4.0},2
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",{'H': 4.0},2
FBA,Fructose-bisphosphate aldolase,{'H': 2.0},2
AEPPYRTA,2 aminoethylphosphonate pyruvate transaminase,{'H': -2.0},2
ADSS,Adenylosuccinate synthase,{'H': -4.0},2
ADSL1r,Adenylsuccinate lyase,{'H': 4.0},2
GCCb_1,Glycine cleavage complex,{'H': -1.0},2
GLYCYSAP,Gly-Cys aminopeptidase,{'H': -1.0},2
GLUTRS,Glutamyl-tRNA synthetase,{'H': -3.0},2
GLUTRR,Glutamyl-tRNA reductase,{'H': 3.0},2
GLUTARH,Glutarate hydroxylase,{'H': -2.0},2
GLUKA_1,Glucokinase/hexokinase (glc-A),{'H': -2.0},2
GLTPD,Galactitol-1-phosphate dehydrogenase,{'H': -2.0},2
GLCADpts,,{'H': -2.0},2
GDPTPDP,Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,{'H': 7.0},2
ADPRDP_1,ADPribose diphosphatase,{'H': -2.0},2
GCCb,Glycine cleavage complex,{'H': -1.0},2
GCCa_1,Glycine-cleavage complex,{'H': 1.0},2
GCCa,Glycine-cleavage complex,{'H': 1.0},2
GARFT,Phosphoribosylglycinamide formyltransferase,{'H': -2.0},2
GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),{'H': -2.0},2
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,{'H': 2.0},2
GALpts,Galactose transport via PTS,{'H': -2.0},2
ECOAH1_1,3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA,{'H': 4.0},2
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",{'H': -2.0},2
CPGNexs,Coprogen Fe-loading reaction (spontaneaous),{'H': 1.0},2
DHBSZ3FEexs,23dhbsz3 Fe III sequestration,{'H': 3.0},2
