reaction_id,reaction_name,reduced_cost,lower_bound,upper_bound
EX_sulfac_e,R_EX_sulfac_e,0.0,-10.0,1000.0
EX_tagur_e,R_EX_tagur_e,0.0,-10.0,1000.0
EX_tartr__L_e,R_EX_tartr__L_e,0.0,-10.0,1000.0
EX_taur_e,R_EX_taur_e,0.0,-10.0,1000.0
EX_thm_e,R_EX_thm_e,0.0,-10.0,1000.0
EX_thr__L_e,R_EX_thr__L_e,0.0,-10.0,1000.0
EX_thymd_e,R_EX_thymd_e,-0.0,-10.0,1000.0
EX_tnt_e,R_EX_tnt_e,0.0,-10.0,1000.0
EX_tre_e,R_EX_tre_e,0.0,-10.0,1000.0
EX_trp__L_e,R_EX_trp__L_e,0.0,-10.0,1000.0
EX_tsul_e,R_EX_tsul_e,0.0,-10.0,1000.0
EX_ttdca_e,R_EX_ttdca_e,0.0,-10.0,1000.0
EX_ttdcea_e,R_EX_ttdcea_e,0.0,-10.0,1000.0
EX_tyr__L_e,R_EX_tyr__L_e,0.0,-10.0,1000.0
EX_udcpdp_e,R_EX_udcpdp_e,-0.0,-10.0,1000.0
EX_udcpp_e,R_EX_udcpp_e,0.0,-10.0,1000.0
EX_ura_e,R_EX_ura_e,0.0,-10.0,1000.0
EX_urate_e,R_EX_urate_e,0.0,-10.0,1000.0
EX_uri_e,R_EX_uri_e,0.0,-10.0,1000.0
EX_val__L_e,R_EX_val__L_e,0.0,-10.0,1000.0
EX_xan_e,R_EX_xan_e,-0.0,-10.0,1000.0
EX_xyl__D_e,R_EX_xyl__D_e,0.0,-10.0,1000.0
EX_zn2_e,R_EX_zn2_e,0.0,-10.0,1000.0
