reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,1,-0.9469865716044764,0.9469865716044764,1000.0,0.0009469865716044765,4.5165955752204225e-05
ECOAH5_1,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA,2,-0.9469865716044764,0.9469865716044764,1000.0,0.0009469865716044765,4.5165955752204225e-05
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),2,-0.9469865716044763,0.9469865716044763,1000.0,0.0009469865716044763,4.5165955752204225e-05
IBTMr,Isobutyryl-CoA mutase,2,0.9469865716044749,0.9469865716044749,1000.0,0.0009469865716044748,4.5165955752204076e-05
MCA,Methyl cis aconitase,2,0.9460245720741383,0.9460245720741383,1000.0,0.0009460245720741382,4.507423838197585e-05
MCITL2,Methylisocitrate lyase,2,0.9460245720741383,0.9460245720741383,1000.0,0.0009460245720741382,4.507423838197585e-05
MCITS,2-methylcitrate synthase,1,0.9460245720741381,0.9460245720741381,1000.0,0.0009460245720741381,4.5074238381975844e-05
MMSDHir,Methylmalonate semialdehyde dehydrogenase  acylating,1,0.9460245720741381,0.9460245720741381,1000.0,0.0009460245720741381,4.5074238381975844e-05
HIBHr,3 hydroxyisobutyryl CoA hydrolase,1,0.946024572074138,0.946024572074138,1000.0,0.000946024572074138,4.507423838197583e-05
ECOAH2c,Enoyl CoA hydratase  bacterial,2,0.946024572074138,0.946024572074138,1000.0,0.000946024572074138,4.507423838197583e-05
HACOADr,3 hydroxyacyl CoA dehydrogenase,2,0.946024572074138,0.946024572074138,1000.0,0.000946024572074138,4.507423838197583e-05
H2Ot,H2O transport via diffusion,2,0.7677421635097706,0.7677421635097706,1000.0,0.0007677421635097707,2.9686182141391145e-05
ADK1,Adenylate kinase,2,-0.617396467744142,0.617396467744142,1000.0,0.000617396467744142,1.919781685619917e-05
ALATA_L,L-alanine transaminase,2,-0.536722508682753,0.536722508682753,1000.0,0.0005367225086827529,1.450852227829276e-05
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,2,0.473012286037069,0.473012286037069,1000.0,0.000473012286037069,1.1268559595493957e-05
Growth,Biomass reaction,1,0.40083313764038786,0.40083313764038786,1000.0,0.00040083313764038787,8.091905456086725e-06
PACALDt,Phenylacetaldehyde transport  extracellular,3,-0.3443856106162529,0.3443856106162529,1000.0,0.0003443856106162529,5.97328941669411e-06
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",2,0.3443856106162529,0.3443856106162529,1000.0,0.0003443856106162529,5.97328941669411e-06
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",1,0.34438561061625284,0.34438561061625284,1000.0,0.0003443856106162528,5.973289416694109e-06
PHACOAOR,Phenylacetyl-CoA oxygenase/reductase,2,0.34438561061625284,0.34438561061625284,1000.0,0.0003443856106162528,5.973289416694109e-06
PACCOAL,Phenylacetate-CoA ligase,1,0.34438561061625284,0.34438561061625284,1000.0,0.0003443856106162528,5.973289416694109e-06
3OXCOAT,3-oxoadipyl-CoA thiolase,1,0.34438561061625284,0.34438561061625284,1000.0,0.0003443856106162528,5.973289416694109e-06
HADPCOADH,3-hydroxyadipyl-CoA dehydrogenase,2,0.3443856106162528,0.3443856106162528,1000.0,0.00034438561061625277,5.973289416694107e-06
H2tpp,Hydrogen transport diffusion (periplasm),2,-0.3443856106162527,0.3443856106162527,1000.0,0.0003443856106162527,5.973289416694105e-06
H2tex,Hydrogen transport via diffusion (extracellular to periplasm),3,-0.34438561061625267,0.34438561061625267,1000.0,0.00034438561061625266,5.973289416694103e-06
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",2,0.32681060366499637,0.32681060366499637,1000.0,0.0003268106036649964,5.3791770847337546e-06
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",2,-0.3268106036649954,0.3268106036649954,1000.0,0.0003268106036649954,5.379177084733722e-06
ACLS,Acetolactate synthase,2,0.3268106036649954,0.3268106036649954,1000.0,0.0003268106036649954,5.379177084733722e-06
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),2,0.3005783565863252,0.3005783565863252,1000.0,0.0003005783565863252,4.550288936384122e-06
CYTK1,Cytidylate kinase (CMP),2,0.3003474766990437,0.3003474766990437,1000.0,0.0003003474766990437,4.543301296107578e-06
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD,2,0.25452904240164637,0.25452904240164637,1000.0,0.00025452904240164635,3.2628585775305714e-06
G3PCT,Glycerol-3-phosphate cytidylyltransferase,2,0.2465123796488386,0.2465123796488386,1000.0,0.00024651237964883857,3.0605609411284026e-06
PPM,Phosphopentomutase,2,0.2367376627543556,0.2367376627543556,1000.0,0.0002367376627543556,2.822658087221193e-06
ACONT,Aconitate hydratase,2,0.21497482837993426,0.21497482837993426,1000.0,0.00021497482837993425,2.327548745784556e-06
ICDHyr,Isocitrate dehydrogenase (NADP),2,0.21497482837993423,0.21497482837993423,1000.0,0.00021497482837993422,2.3275487457845556e-06
CS,Citrate synthase,1,0.21288849189851594,0.21288849189851594,1000.0,0.00021288849189851595,2.2825901257462238e-06
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),2,0.19845408977830664,0.19845408977830664,1000.0,0.00019845408977830665,1.983552364485459e-06
NOX,NADH oxidase,2,0.16982416480436632,0.16982416480436632,1000.0,0.0001698241648043663,1.4525213952607852e-06
VALt3pp,L-valine transport out via proton antiport (periplasm),2,0.15719325147481175,0.15719325147481175,1000.0,0.00015719325147481176,1.2444898469618238e-06
VALtex,L-valine transport via diffusion (extracellular to periplasm),3,-0.15719325147481172,0.15719325147481172,1000.0,0.00015719325147481173,1.2444898469618234e-06
LYSabc,L-lysine transport via ABC system,2,0.13755030034581314,0.13755030034581314,1000.0,0.00013755030034581314,9.528985133434314e-07
ASPTA,Aspartate transaminase,2,-0.13145703540397494,0.13145703540397494,1000.0,0.00013145703540397494,8.703445841162534e-07
ILEt2r,L isoleucine reversible transport via proton symport,2,0.12463064665338815,0.12463064665338815,1000.0,0.00012463064665338815,7.822998736807076e-07
SERt2r,L serine reversible transport via proton symport,2,0.12361453464947036,0.12361453464947036,1000.0,0.00012361453464947037,7.695957131630679e-07
ARGt2r,L arganine reversible transport via proton symport,2,0.11856323544892561,0.11856323544892561,1000.0,0.00011856323544892561,7.079843336584515e-07
GLNS,Glutamine synthetase,2,0.10557263429113828,0.10557263429113828,1000.0,0.00010557263429113827,5.613403745749545e-07
GK1,Guanylate kinase (GMP:ATP),2,0.09704691345352724,0.09704691345352724,1000.0,9.704691345352725e-05,4.7433701694900817e-07
GUAPRT,Guanine phosphoribosyltransferase,2,0.09704691345352724,0.09704691345352724,1000.0,9.704691345352725e-05,4.7433701694900817e-07
PUNP3,Purine-nucleoside phosphorylase (Guanosine),2,0.09704691345352723,0.09704691345352723,1000.0,9.704691345352723e-05,4.74337016949008e-07
ASNt4,L-asparagine transport in via sodium symport,2,0.0966228319939037,0.0966228319939037,1000.0,9.66228319939037e-05,4.70200501686628e-07
NAt3_1,Sodium proton antiporter  HNA is 11,2,0.09662283199370249,0.09662283199370249,1000.0,9.662283199370249e-05,4.7020050168466963e-07
PROt2r,L proline reversible transport via proton symport,2,0.08860616924109593,0.08860616924109593,1000.0,8.860616924109594e-05,3.954134930803832e-07
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),2,0.08621760457389688,0.08621760457389688,1000.0,8.621760457389688e-05,3.743824381398368e-07
ADPT,Adenine phosphoribosyltransferase,2,0.08192909083429775,0.08192909083429775,1000.0,8.192909083429775e-05,3.380647072959143e-07
PUNP1,Purine-nucleoside phosphorylase (Adenosine),2,0.08192909083429774,0.08192909083429774,1000.0,8.192909083429773e-05,3.3806470729591416e-07
ADNt2pp,Adenosine transport in via proton symport (periplasm),2,0.08188900752053378,0.08188900752053378,1000.0,8.188900752053378e-05,3.3773399597506783e-07
23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),3,0.08188900752053377,0.08188900752053377,1000.0,8.188900752053377e-05,3.3773399597506773e-07
3NTD7pp,3'-nucleotidase (AMP) (periplasm),3,0.08188900752053377,0.08188900752053377,1000.0,8.188900752053377e-05,3.3773399597506773e-07
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",2,0.08188900752053377,0.08188900752053377,1000.0,8.188900752053377e-05,3.3773399597506773e-07
Kt1,Potassium transport via uniport (facilitated diffusion),2,0.07823982263544023,0.07823982263544023,1000.0,7.823982263544023e-05,3.083040841067637e-07
GLUR,Glutamate racemase,2,-0.07816246183987564,0.07816246183987564,1000.0,7.816246183987564e-05,3.0769470496769776e-07
HCO3E,HCO3 equilibration reaction,2,0.0758376296415614,0.0758376296415614,1000.0,7.583762964156141e-05,2.896630265255725e-07
ACCOAC,Acetyl-CoA carboxylase,2,0.0758376296415614,0.0758376296415614,1000.0,7.583762964156141e-05,2.896630265255725e-07
PHEt2r,L phenylalanine reversible transport via proton symport,2,0.07426035124494647,0.07426035124494647,1000.0,7.426035124494647e-05,2.777394438185982e-07
ALATA_D,D-alanine transaminase,2,-0.07415413046347176,0.07415413046347176,1000.0,7.415413046347175e-05,2.7694546423456816e-07
H2St1,H2s transport (diffusion),3,-0.06776505066605334,0.06776505066605334,1000.0,6.776505066605334e-05,2.3127841272436516e-07
UMPK,UMP kinase,2,0.06297248925585558,0.06297248925585558,1000.0,6.297248925585558e-05,1.997217143737056e-07
GAMpts,D-glucosamine transport via PEP:Pyr PTS,2,0.058521638095496646,0.058521638095496646,1000.0,5.8521638095496645e-05,1.7248705670194475e-07
PGAMT,Phosphoglucosamine mutase,2,-0.05852163809549657,0.05852163809549657,1000.0,5.852163809549657e-05,1.724870567019443e-07
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,1,0.05852163809549656,0.05852163809549656,1000.0,5.8521638095496564e-05,1.7248705670194424e-07
UAGDP,UDP-N-acetylglucosamine diphosphorylase,2,0.058521638095496556,0.058521638095496556,1000.0,5.852163809549656e-05,1.724870567019442e-07
URIt2,Uridine transport in via proton symport,2,0.05776165846653057,0.05776165846653057,1000.0,5.776165846653057e-05,1.6803620781168514e-07
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),2,0.05776165846653057,0.05776165846653057,1000.0,5.776165846653057e-05,1.6803620781168514e-07
UPPRT,Uracil phosphoribosyltransferase,2,0.05776165846653057,0.05776165846653057,1000.0,5.776165846653057e-05,1.6803620781168514e-07
TYRt2r,L tyrosine reversible transport via proton symport,2,0.05527328634805892,0.05527328634805892,1000.0,5.527328634805892e-05,1.5387006497355347e-07
CYTDK1,ATP:cytidine 5'-phosphotransferase,2,0.05351443054009284,0.05351443054009284,1000.0,5.351443054009284e-05,1.4423324684267744e-07
CYTDt2,Cytidine transport in via proton symport,2,0.05351443054009284,0.05351443054009284,1000.0,5.351443054009284e-05,1.4423324684267744e-07
HISt2r,L histidine reversible transport via proton symport,2,0.03797412979377507,0.03797412979377507,1000.0,3.797412979377507e-05,7.262718714833684e-08
CYS,L-cysteine,2,0.03693917863238815,0.03693917863238815,1000.0,3.693917863238815e-05,6.872235475914285e-08
ASAD,Aspartate-semialdehyde dehydrogenase,2,-0.03483420341006909,0.03483420341006909,1000.0,3.483420341006909e-05,6.111324300435737e-08
ASPK,Aspartate kinase,2,0.03483420341006909,0.03483420341006909,1000.0,3.483420341006909e-05,6.111324300435737e-08
HCYSMT2,Homocysteine Methyltransferase,2,0.030865955347429242,0.030865955347429242,1000.0,3.086595534742924e-05,4.798251530348033e-08
MMETtex,S-methyl-L-methionine transport via diffusion (extracellular to periplasm),3,0.030865955347429242,0.030865955347429242,1000.0,3.086595534742924e-05,4.798251530348033e-08
MMETt2pp,S-methylmethionine permease (periplasm),2,0.030865955347429242,0.030865955347429242,1000.0,3.086595534742924e-05,4.798251530348033e-08
HSDy,Homoserine dehydrogenase (NADPH),2,-0.030825872033665207,0.030825872033665207,1000.0,3.0825872033665205e-05,4.785797359579625e-08
HSERTA,Homoserine O trans acetylase,1,0.030825872033665203,0.030825872033665203,1000.0,3.0825872033665205e-05,4.7857973595796244e-08
AHSERL2,O acetylhomoserine  thiol  lyase,2,0.030825872033665203,0.030825872033665203,1000.0,3.0825872033665205e-05,4.7857973595796244e-08
TRPt2r,L tryptophan reversible transport via proton symport,2,0.022784558042892564,0.022784558042892564,1000.0,2.2784558042892563e-05,2.6145971360350307e-08
TRDR,Thioredoxin reductase (NADPH),2,0.021317508759125206,0.021317508759125206,1000.0,2.1317508759125207e-05,2.2887400197998997e-08
CYTK2,Cytidylate kinase (dCMP),2,0.010829308879630361,0.010829308879630361,1000.0,1.0829308879630361e-05,5.906429785256589e-09
