glucose_uptake,o2_uptake,nh4_uptake,PHB_flux_output
0.703125,9.27734375,3.8671875,3.794609619567433
0.703125,9.27734375,1.4453125,3.794609619579189
15.859375,15.33203125,8.8671875,3.937981513908677
10.703125,15.33203125,8.8671875,3.9379815139086496
15.859375,21.77734375,8.8671875,3.937981513908697
15.859375,15.33203125,6.4453125,3.937981513908646
15.859375,21.77734375,6.4453125,3.9379815139086762
10.703125,15.33203125,6.4453125,3.9379815139087344
10.703125,21.77734375,8.8671875,3.937981513908575
10.703125,21.77734375,6.4453125,3.9379815139086327
10.859375,9.08203125,1.3671875,3.7574072386267945
5.703125,9.08203125,1.3671875,3.7574072386268442
10.859375,15.52734375,1.3671875,3.937981513908803
10.859375,9.08203125,8.9453125,3.757407238626765
10.859375,15.52734375,8.9453125,3.9379815139087033
5.703125,9.08203125,8.9453125,3.757407238626833
5.703125,15.52734375,1.3671875,3.937981513908662
5.703125,15.52734375,8.9453125,3.9379815139086958
0.859375,21.58203125,6.3671875,3.9379815139085546
15.703125,21.58203125,6.3671875,3.937981513908643
0.859375,3.02734375,6.3671875,3.3064480382295933
0.859375,21.58203125,3.9453125,3.9379815139087193
0.859375,3.02734375,3.9453125,3.306448038229587
15.703125,21.58203125,3.9453125,3.9379815139087317
15.703125,3.02734375,6.3671875,3.306448038229595
15.703125,3.02734375,3.9453125,3.3064480382296044
1.171875,1.66015625,9.9609375,3.307989036388609
14.765625,1.66015625,9.9609375,3.3079890363886184
1.171875,19.04296875,9.9609375,3.937981513908664
1.171875,1.66015625,2.5390625,3.307989036388645
1.171875,19.04296875,2.5390625,3.937981513908694
14.765625,1.66015625,2.5390625,3.3079890363884568
14.765625,19.04296875,9.9609375,3.937981513908709
14.765625,19.04296875,2.5390625,3.9379815139092607
11.171875,14.16015625,4.9609375,3.9379815139084693
4.765625,14.16015625,4.9609375,3.937981513908657
11.171875,6.54296875,4.9609375,3.2737762862460675
11.171875,14.16015625,7.5390625,3.937981513908704
11.171875,6.54296875,7.5390625,3.2737762862458855
4.765625,14.16015625,7.5390625,3.9379815139087233
4.765625,6.54296875,4.9609375,3.2737762862459143
4.765625,6.54296875,7.5390625,3.2737762862458406
16.171875,7.91015625,7.4609375,3.5341929529125102
19.765625,7.91015625,7.4609375,3.534192952912555
16.171875,0.29296875,7.4609375,3.131849085921322
16.171875,7.91015625,5.0390625,3.5341929529122633
16.171875,0.29296875,5.0390625,3.1318490859210852
19.765625,7.91015625,5.0390625,3.534192952912824
19.765625,0.29296875,7.4609375,3.1318490859211434
19.765625,0.29296875,5.0390625,3.131849085921142
6.171875,20.41015625,2.4609375,3.937981513908642
9.765625,20.41015625,2.4609375,3.9379815139086967
6.171875,12.79296875,2.4609375,3.937981513908611
6.171875,20.41015625,0.0390625,3.9379815139086176
6.171875,12.79296875,0.0390625,3.9379815139086594
9.765625,20.41015625,0.0390625,3.9379815139086713
9.765625,12.79296875,2.4609375,3.9379815139086753
9.765625,12.79296875,0.0390625,3.9379815139086913
8.671875,11.03515625,3.7109375,3.9379815139085554
7.265625,11.03515625,3.7109375,3.9379815139088525
8.671875,15.91796875,3.7109375,3.9379815139082557
8.671875,11.03515625,3.7890625,3.9379815139084844
8.671875,15.91796875,3.7890625,3.937981513908528
7.265625,11.03515625,3.7890625,3.9379815139086594
7.265625,15.91796875,3.7109375,3.937981513908728
7.265625,15.91796875,3.7890625,3.9379815139084853
18.671875,23.53515625,8.7109375,3.937981513908678
17.265625,23.53515625,8.7109375,3.9379815139086394
18.671875,3.41796875,8.7109375,3.2494194316230915
18.671875,23.53515625,8.7890625,3.9379815139086185
18.671875,3.41796875,8.7890625,3.2494194316230236
17.265625,23.53515625,8.7890625,3.937981513908609
17.265625,3.41796875,8.7109375,3.2494194316229414
